MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,JKTYRE,JK TYRE & INDUSTRIES LTD,       159.95,       162.55,       174.30,       162.10,       173.00,                871077678.50,5093857,N, ,38088,       197.45,        95.45
N,EQ,JMA,JULLUNDUR MOT AGENCY LTD,        73.10,        72.95,        74.55,        72.60,        72.80,                   895968.25,12209,N, ,161,        93.80,        59.20
N,EQ,JMCPROJECT,JMC PROJECTS (I) LTD.,        92.20,        93.90,        96.00,        93.30,        94.20,                 17326049.45,182429,N, ,4785,       118.00,        68.10
N,EQ,JMFINANCIL,JM FINANCIAL LIMITED,        71.40,        72.30,        73.50,        71.00,        71.75,                 76912980.60,1065372,N, ,5803,        96.90,        57.10
N,EQ,JOCIL,JOCIL LIMITED,       181.65,       185.00,       196.80,       182.25,       185.20,                  1165679.45,6217,N, ,207,       246.00,       142.20
N,EQ,JPASSOCIAT,JAIPRAKASH ASSOCIATES LTD,         8.35,         8.45,         8.65,         8.45,         8.55,                 46825198.80,5474402,N, ,5426,        13.10,         7.00
N,EQ,JPOLYINVST,JIND POL INV & FIN CO LTD,       375.65,       384.30,       388.40,       374.20,       377.55,                  3119380.60,8151,N, ,459,       479.35,       205.10
N,EQ,JPPOWER,JAIPRAKASH POWER VEN. LTD,         7.20,         7.30,         7.60,         7.25,         7.45,                301098991.10,40542053,N, ,12840,        11.15,         4.10
N,EQ,JSL,JINDAL STAINLESS LIMITED,       128.05,       130.40,       131.60,       129.00,       130.85,                 72484966.30,555506,N, ,7144,       224.40,        95.05
N,EQ,JSLHISAR,JINDAL STAINLESS (H) LTD,       250.10,       256.00,       256.00,       251.55,       253.30,                 20182149.40,79410,N, ,3362,       431.95,       189.00
N,SM,JSLL,JEENA SIKHO LIFECARE LTD,       150.30,       152.00,       152.00,       150.05,       150.05,                   302050.00,2000,N, ,2,       182.50,       127.00
N,EQ,JSWENERGY,JSW ENERGY LIMITED,       291.90,       296.50,       299.70,       292.00,       293.25,                328441900.40,1112848,N, ,14839,       369.00,       182.05
N,EQ,JSWHL,JSW HOLDINGS LIMITED,      4273.00,      4282.00,      4489.85,      4246.05,      4312.25,                 11600545.95,2687,N, ,1208,      5242.00,      2820.90
N,EQ,JSWISPL,JSW ISPAT SPE PRO LTD,        27.00,        27.45,        28.05,        27.40,        27.90,                 15313258.55,551243,N, ,1180,        45.40,        22.15
N,EQ,JTEKTINDIA,JTEKT INDIA LIMITED,       101.60,       102.85,       104.00,       102.45,       103.45,                 12737051.30,123366,N, ,1948,       114.00,        66.05
N,EQ,JTLINFRA,JTL INFRA LTD,       254.70,       258.80,       270.05,       242.10,       264.50,                663862456.90,2599695,N, ,22947,       279.90,       166.00
N,EQ,JUBLINGREA,JUBILANT INGREVIA LIMITED,       510.20,       517.90,       526.70,       513.45,       519.40,                269936875.30,518979,N, ,13693,       838.75,       401.20
N,EQ,JUBLPHARMA,JUBILANT PHARMOVA LTD,       328.10,       332.00,       342.00,       326.15,       335.50,                 73005065.55,219660,N, ,7775,       655.50,       281.80
N,EQ,JUSTDIAL,JUSTDIAL LTD.,       567.95,       574.50,       594.00,       566.55,       589.10,                195186269.70,334314,N, ,12016,      1051.00,       520.00
N,EQ,JYOTHYLAB,JYOTHY LABS LIMITED,       188.50,       188.50,       190.55,       186.60,       188.25,                 30025086.85,158783,N, ,5653,       198.40,       130.15
N,EQ,KABRAEXTRU,KABRA EXTRUSION TECHNIK L,       366.70,       369.40,       382.25,       369.15,       374.05,                 25673414.60,68287,N, ,6191,       564.45,       230.90
N,EQ,KAJARIACER,KAJARIA CERAMICS LTD,      1198.20,      1204.50,      1205.55,      1178.55,      1186.35,                177830272.15,149177,N, ,9524,      1374.90,       885.30
N,EQ,KAKATCEM,KAKATIYA CEM SUGAR &IND L,       213.40,       217.65,       219.90,       215.65,       216.20,                  4434285.45,20304,N, ,379,       301.20,       175.30
N,EQ,KALPATPOWR,KALPATARU POWER TRANS. LT,       424.20,       429.80,       433.95,       418.00,       419.00,                123955654.55,292800,N, ,13634,       452.65,       331.80
N,EQ,KALYANKJIL,KALYAN JEWELLERS IND LTD,        94.25,        96.25,       103.00,        94.75,       100.20,               1538664380.95,15329000,N, ,61458,       103.00,        55.05
N,EQ,KANANIIND,KANANI INDUSTRIES LTD,         8.40,         8.70,         8.70,         8.20,         8.35,                   963904.40,115232,N, ,444,        19.50,         7.35
N,EQ,KANORICHEM,KANORIA CHEMICALS & INDUS,       143.15,       145.85,       157.45,       142.60,       149.55,                  1513533.85,10247,N, ,229,       214.90,        98.75
N,EQ,KANPRPLA,KANPUR PLASTIPACK LIMITED,       111.70,       110.20,       114.00,       110.20,       113.55,                   614988.60,5461,N, ,140,       189.80,       103.85
N,EQ,KANSAINER,KANSAI NEROLAC PAINTS LTD,       493.55,       501.00,       501.00,       480.10,       484.15,                109745026.70,224523,N, ,8537,       675.00,       358.15
N,EQ,KAPSTON,KAPSTON SERVICES LIMITED,       134.25,       143.00,       143.00,       134.00,       137.30,                   146188.80,1062,N, ,50,       187.85,        99.50
N,EQ,KARURVYSYA,KARUR VYSYA BANK LTD,        78.85,        80.85,        81.50,        79.70,        80.90,                272776364.35,3375723,N, ,14258,       101.70,        41.75
N,EQ,KAUSHALYA,KAUSHALYA INFRA DEV LTD.,         4.65,         4.85,         4.85,         4.55,         4.60,                   197772.05,42449,N, ,119,         6.35,         2.10
N,EQ,KAVVERITEL,KAVVERI TEL. LTD.,        11.25,        11.70,        11.80,        10.85,        11.45,                  1370098.45,118119,N, ,591,        11.80,         7.75
N,EQ,KAYA,KAYA LIMITED,       367.85,       368.15,       380.95,       365.50,       372.60,                  2626042.55,7072,N, ,296,       575.20,       243.00
N,SM,KCK,KCK INDUSTRIES LTD,        21.60,        21.50,        21.55,        21.50,        21.55,                   172200.00,8000,N, ,2,        31.70,        21.50
N,EQ,KCP,KCP LTD,       112.55,       113.85,       119.90,       112.00,       117.55,                 42306639.40,362348,N, ,7674,       149.40,        98.50
N,EQ,KCPSUGIND,KCP SUGAR IND CORP LTD.,        20.90,        21.20,        21.40,        21.10,        21.20,                  2132768.25,100531,N, ,446,        35.75,        18.50
N,EQ,KDDL,KDDL LIMITED,       973.40,       978.00,      1073.95,       970.55,      1044.60,                 73079697.45,72115,N, ,5909,      1191.00,       426.85
N,EQ,KEC,KEC INTL. LIMITED,       447.70,       469.00,       469.00,       438.65,       442.20,                487821452.00,1078945,N, ,25259,       550.00,       345.50
N,EQ,KECL,KIRLOSKAR ELECTRIC CO LTD,        38.55,        40.45,        40.45,        40.45,        40.45,                  2165571.65,53537,N, ,94,        49.45,        16.60
N,EQ,KEI,KEI INDUSTRIES LTD.,      1411.85,      1429.00,      1432.85,      1408.00,      1415.10,                120361949.10,84713,N, ,6894,      1606.95,       801.00
N,EQ,KELLTONTEC,KELLTON TECH SOL LTD,        62.75,        63.50,        65.40,        63.40,        64.10,                 12006168.15,186904,N, ,2178,       135.00,        46.30
N,EQ,KENNAMET,KENNAMETAL INDIA LIMITED,      2584.05,      2619.00,      2642.60,      2572.30,      2598.85,                 70534738.65,26944,N, ,6559,      2890.00,      1321.90
